advertiser_id	party
679270472492293	SPD
183142558400276	SPD
338807766307963	CDU/CSU
1760904514159207	Die Grünen
1602662696420915	SPD
206465909483677	CDU/CSU
371950716321791	SPD
218475594838688	CDU/CSU
111319193894847	SPD
295105267257769	SPD
574378742662379	SPD
54497594909	CDU/CSU
354020804610580	SPD
340333476033377	SPD
138480036196810	Andere Parteien
524965010906886	SPD
750480458453254	AfD
130938260290333	SPD
123290727868673	Die Grünen
251373565543211	SPD
1676686442620170	AfD
106637900016	Die Grünen
112333602252654	SPD
1642523692727732	Die Grünen
401644396606709	CDU/CSU
105832580847848	CDU/CSU
104730014601694	SPD
1540242899540788	FDP
116908774990653	CDU/CSU
544234032609043	AfD
187024618004397	SPD
184572898287456	SPD
101945947907281	SPD
361632117220595	Die Linke
331788763571422	Die Linke
189006054445407	FDP
101214664796329	Die Grünen
357029895386	FDP
96350979416	SPD
189449641081486	FDP
1117837158283076	Andere Parteien
143724732361016	CDU/CSU
1391306014465513	Die Grünen
154654377881669	Die Linke
316067627870	SPD
497328760287617	SPD
313552348713676	CDU/CSU
104475234521287	AfD
103558289679671	Die Grünen
247446945305165	SPD
215133705186402	FDP
141233182633803	SPD
337384103009876	SPD
162707793881819	AfD
346354698744517	Die Linke
226477964209185	SPD
165381593630826	SPD
263092007112375	Die Grünen
274218786669289	Die Grünen
139619772887950	CDU/CSU
1509344156054331	AfD
109832419149120	CDU/CSU
254001150144	SPD
183826048364143	CDU/CSU
105586340900313	CDU/CSU
399905680038132	SPD
134137749971478	SPD
2158012137543502	AfD
40415227476	SPD
142603625775614	Die Linke
545186722205280	CDU/CSU
22865297210	Die Grünen
1712174338805050	CDU/CSU
201917939829182	Die Grünen
465618106798253	SPD
818732621553521	AfD
2357545427862990	AfD
449738865388648	SPD
266691460417403	CDU/CSU
2053330071620476	CDU/CSU
106309830837149	CDU/CSU
728472263854443	Die Linke
337150283792894	SPD
449843528921679	CDU/CSU
2299270487017208	AfD
293150187371037	Die Linke
151301751672763	CDU/CSU
104598324496558	CDU/CSU
364491737725008	SPD
251214968313715	SPD
2140740582905024	SPD
176810409073481	Andere Parteien
1433524006667098	Die Linke
111098485567058	CDU/CSU
324712601051697	SPD
103594591399224	Andere Parteien
146453833478	CDU/CSU
293912054880334	CDU/CSU
160531500656482	FDP
98276387039	CDU/CSU
792623147583711	Die Grünen
243128545750196	Die Grünen
196114277078358	Die Linke
189810044370879	FDP
590392897693746	AfD
102459227929518	SPD
442503965827807	Die Grünen
1403988733183196	AfD
173369732686833	Die Grünen
107652402721043	CDU/CSU
131868470238091	SPD
342310560274	FDP
353378298097249	Andere Parteien
165330356909267	Andere Parteien
224759004224478	Die Grünen
1586557444966728	SPD
1769874936617486	SPD
1424640187844980	SPD
1260228737415861	CDU/CSU
1513135758963763	SPD
225499161202327	AfD
457211171523961	SPD
394438254050576	SPD
423911207652417	FDP
159683230832657	CDU/CSU
100988611709531	FDP
192894677394511	CDU/CSU
177137239037270	Die Linke
1020628358009021	CDU/CSU
110332583792510	FDP
608692872546882	SPD
206375486064212	Die Linke
342626915771942	SPD
1402857076602559	SPD
222005461272345	AfD
787491308075734	CDU/CSU
498550173567592	AfD
214383545099	SPD
1931006000456181	FDP
115207666693901	Die Grünen
197241540388961	CDU/CSU
107045650764452	CDU/CSU
2290009677733536	Die Grünen
286041075427675	CDU/CSU
111080489096209	SPD
166760213476486	AfD
188188564583	FDP
176769343562	SPD
110599178974216	SPD
277110159132558	SPD
68029851352	SPD
491777120899479	CDU/CSU
102871673163893	Die Grünen
290897990187	CDU/CSU
210608365644102	SPD
121574737887564	CDU/CSU
1527271330697247	AfD
342930772424635	FDP
308041569255	CDU/CSU
110954243838478	AfD
108881840642618	CDU/CSU
340889677403	Die Grünen
569189106460615	AfD
1993045977441166	FDP
104254297749998	SPD
470010929754315	SPD
506922629367474	AfD
104536221555827	CDU/CSU
104474547975226	CDU/CSU
452938604771335	FDP
160705637324870	SPD
257037997640048	FDP
131268050275994	CDU/CSU
2314479965496560	Andere Parteien
400752359969204	FDP
483229298544917	AfD
1451477971787433	CDU/CSU
357340074316038	Die Grünen
205409269649413	SPD
477603909116314	CDU/CSU
2285393051781757	SPD
107077204373269	SPD
109997953867044	CDU/CSU
110938070669531	CDU/CSU
114114670302742	FDP
212525098812757	Die Grünen
140300602673724	SPD
694059620637906	Die Grünen
227109810768804	FDP
631846080281827	AfD
1641939292745202	FDP
2205288519491183	SPD
288175680415	Die Grünen
344338202322791	SPD
834889903321709	AfD
244652628953985	Die Grünen
522437804529268	Die Grünen
282628458440875	CDU/CSU
113959368688613	SPD
351744732333754	SPD
154079088364952	SPD
305476362958177	Die Grünen
156199291630178	Andere Parteien
153280254743848	SPD
2051860635076941	AfD
105137737736316	AfD
1002249093149874	Die Grünen
492112370837905	Die Grünen
724441470907492	SPD
166316026769607	FDP
160077384026481	Die Linke
341838573162694	CDU/CSU
351599083703	FDP
420751304956832	Die Grünen
215574145176015	SPD
103580178012993	CDU/CSU
685221951523894	CDU/CSU
361279990712164	CDU/CSU
265087723511402	Die Grünen
2246747935646815	SPD
673806796563875	AfD
109436900914743	Andere Parteien
117830926270959	CDU/CSU
357463441022309	SPD
126680104664878	Die Linke
113799178796730	SPD
816849488352422	SPD
105620414514422	SPD
117949966745319	SPD
381619485280031	Die Linke
259879837439239	Die Linke
213990752126671	FDP
205638336210232	CDU/CSU
637698422930739	SPD
100282314790889	CDU/CSU
344889229443918	FDP
1706148309600802	CDU/CSU
355619987802773	FDP
322199684504750	SPD
121482574682034	FDP
642283985808604	Die Grünen
101413508034119	SPD
171011116314804	CDU/CSU
102575101091560	FDP
156844567712714	FDP
117194528903	Die Grünen
291263894255779	CDU/CSU
167553286633256	FDP
649172151796727	AfD
141268525972760	SPD
208091765974091	CDU/CSU
491844624188171	Die Grünen
101160819981648	SPD
324904390868454	Die Grünen
160652444078120	CDU/CSU
880165708696034	CDU/CSU
1675083419467476	CDU/CSU
1568757030079109	SPD
1535351666717897	AfD
100699901298990	SPD
949786438388597	AfD
583682991774426	SPD
178032906642	CDU/CSU
219299761494261	SPD
104674980966970	CDU/CSU
112464673642322	SPD
1433133016766839	AfD
495527383854650	AfD
100465191508928	FDP
102081592078	CDU/CSU
810191022689415	SPD
117394930048554	CDU/CSU
320488628674422	CDU/CSU
311802575539452	CDU/CSU
276355032461890	CDU/CSU
205311826175998	Die Linke
110918253709571	SPD
1873283949575191	FDP
458240880867678	Die Grünen
213081232036397	CDU/CSU
2290537637836798	SPD
107430737637644	SPD
303255759799527	SPD
327967467285486	Die Grünen
103932007769315	CDU/CSU
477786932246675	Die Linke
123350685201	SPD
173138849399254	FDP
179649492694260	AfD
1728384757389565	SPD
110816527011111	Die Grünen
375398925813504	Die Linke
195868077126183	SPD
1145583708819355	AfD
344646145674681	Die Grünen
316189812305528	CDU/CSU
582471705132997	CDU/CSU
108884453961414	SPD
1396177753953939	AfD
154015121740225	SPD
258010677710086	FDP
2450484734973196	FDP
409153932473503	Die Grünen
263935610424272	FDP
101126754702805	CDU/CSU
100919148170366	CDU/CSU
564006373609510	SPD
138828612811001	Die Grünen
204428466692549	FDP
150320575050261	SPD
243720072497041	Die Grünen
334917456712269	SPD
215346935169485	FDP
100361488208803	CDU/CSU
10150158634595002	Die Grünen
1454604608109285	Die Linke
173796242642081	CDU/CSU
1007682439310071	FDP
185070192443461	CDU/CSU
102505911172634	AfD
1479344942348052	AfD
751533138525902	SPD
286496464854520	Die Grünen
446978088671849	SPD
414164615335900	Die Grünen
194580740596001	SPD
207696576276477	FDP
1092001897517632	CDU/CSU
283033412349554	CDU/CSU
268071999965909	FDP
1395796810686553	SPD
355700274939168	AfD
102772791341188	Andere Parteien
708405492948265	CDU/CSU
105438501012933	SPD
100580731490026	CDU/CSU
1461961700773997	Die Linke
101557913273369	SPD
1344470305633963	SPD
938587379491828	Die Linke
523641797678454	SPD
104063477761715	SPD
156288854392108	SPD
493118260720881	Die Linke
182588003457	SPD
166830066695333	Die Grünen
101755171386064	AfD
107189775985674	FDP
111036808966258	Andere Parteien
62277894006	Die Grünen
100108454958399	SPD
876637439034270	CDU/CSU
262890930391164	CDU/CSU
1433339323564732	Andere Parteien
139862662749081	FDP
285059978218487	FDP
162027803858910	FDP
108923620810745	CDU/CSU
110830363643101	FDP
254834864863555	FDP
167081230451959	AfD
108295377293625	SPD
105353438008289	Die Grünen
233983579975419	CDU/CSU
109967779039993	Andere Parteien
415071761963566	FDP
192914530744779	SPD
138238532889523	FDP
227617187317229	CDU/CSU
179895928691877	Die Grünen
210732179679744	AfD
21370539959	SPD
1111008692243168	CDU/CSU
1809612912702100	FDP
146602242069785	Die Linke
1547881808869530	SPD
259442704144526	Die Linke
408203896670867	CDU/CSU
669227289947234	Andere Parteien
192535774109301	FDP
562346783854479	CDU/CSU
1324932424284616	Die Grünen
112239703688787	SPD
635749213117505	FDP
83113756872	Die Grünen
1664962947072526	Die Grünen
114266450799	SPD
524359754759675	Die Grünen
243370879078946	Andere Parteien
102821294758057	SPD
389602857724902	FDP
114961619941373	SPD
998055180227538	Die Linke
217523541326	CDU/CSU
1675732229322111	SPD
519742788599322	SPD
291741527578878	FDP
419122148484590	SPD
621994677905469	AfD
123837087688700	SPD
356249171058512	CDU/CSU
578604215560969	SPD
288773480763	SPD
118513912880064	SPD
168506600007036	AfD
462304987169431	Die Grünen
450531351694799	Die Linke
202007559994993	CDU/CSU
1409631672620315	AfD
356649257687146	SPD
1232732846774130	SPD
1692727327626236	SPD
1219303524801900	FDP
107579450419	Die Grünen
110626356962665	SPD
1391635544418670	SPD
239654946368687	Die Linke
226802777470577	Die Linke
181875741858432	CDU/CSU
100856348087174	SPD
159463220781780	Die Grünen
1427745830818618	Die Grünen
261694123457	SPD
100713688581456	CDU/CSU
182150885178243	CDU/CSU
548463755194264	CDU/CSU
154226984729277	SPD
1058189624203745	CDU/CSU
359659797474640	Die Grünen
126405167410480	SPD
923142974443930	FDP
109233527617637	FDP
343184722442888	SPD
675875505874116	Die Grünen
103029254416234	SPD
1224342004311037	Die Grünen
1415403032063414	CDU/CSU
105181787847596	CDU/CSU
2056437791262195	Die Linke
486840771357538	Die Linke
890015597711627	SPD
123246351083034	SPD
113686870399585	Die Grünen
169876099764094	Die Grünen
107748367784673	SPD
1447497155481468	SPD
382692185145751	CDU/CSU
177012146101903	Die Grünen
1085807118198428	AfD
461229093988066	SPD
725867397447239	CDU/CSU
104242189650899	Die Grünen
101672764800911	Die Grünen
160822027305985	SPD
