Page ID,Page name,Disclaimer,Amount spent (EUR)
331832984040,LichtBlick,LichtBlick,18757
115472038482126,Gothaer Versicherung,Gothaer Versicherung,14606
107027277683021,Deine S-Bahn München,DB Regio AG - S-Bahn München,14494
350558562311,FDP Bayern,FDP Bayern,9922
265715943461097,Kettner Edelmetalle,Kettner Edelmetalle,9807
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,9652
232874490208891,Bundesagentur für Arbeit,Bundesagentur für Arbeit,8363
81386795687,CSU (Christlich-Soziale Union),CSU (Christlich-Soziale Union),7880
217879838339082,Bundesministerium für Wirtschaft und Klimaschutz,Bundesministerium für Wirtschaft und Klimaschutz,7326
114803848589834,DIE ZEIT,These ads ran without a disclaimer,6676
305250279569563,BayernSPD,Landesverband BayernSPD,6225
674340402707662,"Dr. Florian Herrmann, MdL","Dr. Florian Herrmann, MdL",5233
82734241364,Campact e.V.,Campact e.V.,5041
178362315106,European Parliament,European Parliament,4479
13479664941,JUNGE FREIHEIT,Junge Freiheit Verlag GmbH & Co. KG,4344
75492447764,GLS Bank,GLS Bank,4055
218786540044,WWF Deutschland,WWF Deutschland,3616
56497026719,SOS-Kinderdörfer weltweit,SOS-Kinderdörfer weltweit Hermann-Gmeiner-Fonds Deutschland e.V.,3370
1852185055034835,Bayernwerk,Bayernwerk AG,3255
102169625710148,ClimaClic,Burda Direct GmbH,3167
103347062097905,Wind-Rat,Wind-Rat,3024
1508446642792459,Vattenfall,Vattenfall Europe Sales GmbH,3001
2071515543141090,LCOY Germany,LCOY Germany,2992
111501317017740,Motatos Deutschland,Motatos,2972
170770700406759,Stefan Meyer,Stefan Meyer,2972
197976650236259,MINI,These ads ran without a disclaimer,2966
201065353264638,yello,yello,2842
273454591804,SOS-Kinderdorf Deutschland,SOS-Kinderdorf e.V.,2832
154149027994068,ZDF,ZDF,2570
161273245888,Save the Children Deutschland,Save the Children Deutschland,2516
258191139993,GRÜNE Bayern,GRÜNE Bayern,2379
115472038482126,Gothaer Versicherung,These ads ran without a disclaimer,2242
1114156508732301,Zivile Helden,Polizeiliche Kriminalprävention der Länder und des Bundes,2182
112981306741840,Klimastreik - Zusammen mit Fridays For Future auf die Straßen,klima-streik.org,2124
