Page ID,Page name,Disclaimer,Amount spent (EUR)
331832984040,LichtBlick,LichtBlick,9443
115472038482126,Gothaer Versicherung,Gothaer Versicherung,7492
188188564583,FDP Hessen,FDP Hessen,4861
232874490208891,Bundesagentur für Arbeit,Bundesagentur für Arbeit,4540
265715943461097,Kettner Edelmetalle,Kettner Edelmetalle,4453
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,4422
111080175616050,SPD Hessen,SPD Hessen,4171
217879838339082,Bundesministerium für Wirtschaft und Klimaschutz,Bundesministerium für Wirtschaft und Klimaschutz,3606
114803848589834,DIE ZEIT,These ads ran without a disclaimer,3146
75492447764,GLS Bank,GLS Bank,2717
82734241364,Campact e.V.,Campact e.V.,2700
104389425384135,Arbeitgeber Land Hessen,Hessisches Ministerium des Innern und für Sport,2598
178362315106,European Parliament,European Parliament,2400
354492595049805,Stefan Naas,FDP Hessen,2339
218786540044,WWF Deutschland,WWF Deutschland,1983
56497026719,SOS-Kinderdörfer weltweit,SOS-Kinderdörfer weltweit Hermann-Gmeiner-Fonds Deutschland e.V.,1918
217523541326,CDU Hessen,CDU Hessen,1853
273454591804,SOS-Kinderdorf Deutschland,SOS-Kinderdorf e.V.,1577
115942180277239,Fraktion Freie Wähler / Pro Auto,Fraktion Freie Wähler / Pro Auto,1518
1508446642792459,Vattenfall,Vattenfall Europe Sales GmbH,1517
111501317017740,Motatos Deutschland,Motatos,1505
102169625710148,ClimaClic,Burda Direct GmbH,1482
109436900914743,Michael Götz-Pijl - Die PARTEI,Michael Götz-Pijl - Die PARTEI,1465
161273245888,Save the Children Deutschland,Save the Children Deutschland,1442
187721119585949,DieBasis LV Hessen,DieBasis LV Hessen,1410
197976650236259,MINI,These ads ran without a disclaimer,1339
201065353264638,yello,yello,1277
118043817945466,Schufa Holding AG,SCHUFA Holding AG,1192
115472038482126,Gothaer Versicherung,These ads ran without a disclaimer,1164
112981306741840,Klimastreik - Zusammen mit Fridays For Future auf die Straßen,klima-streik.org,1144
154149027994068,ZDF,ZDF,1138
275948812881586,NVV bewegt,Nordhessischer Verkehrsverbund,1096
1114156508732301,Zivile Helden,Polizeiliche Kriminalprävention der Länder und des Bundes,1074
248913988520756,Union Investment,Union Investment Privatfonds GmbH,960
140702982659620,Grüne Jugend Hessen (GJH),GRÜNE JUGEND Hessen,906
451980374985742,ecoligo,ecoligo,900
236934790401,UNO-Flüchtlingshilfe,UNO-Flüchtlingshilfe,861
198244400189055,Entega,ENTEGA Plus GmbH,832
108933312162438,Christoph D. Mikuschek,Christoph D. Mikuschek,820
572530603230497,AfD-Fraktion im Hessischen Landtag,AfD-Fraktion im Hessischen Landtag,812
222005461272345,AfD Hessen,AfD Hessen,802
357751567632105,FWG Büdingen,FWG Büdingen,791
484950398505596,IRC Deutschland,IRC Deutschland,755
130534873659391,Green Planet Energy,Green Planet Energy eG,681
111691415246062,"Kaweh Nemati - Ihr Landtagskandidat für Bornheim, Nordend, Ostend",CDU Kreisgeschäftsstelle Frankfurt,679
109573920927141,Ichwillfair,Initiative für nachhaltige Agrarlieferketten,679
478399422560922,KadeFemina,DR. KADE,673
133306764192,NABU Bundesverband,NABU Bundesverband,660
114186703597807,VIER PFOTEN,VIER PFOTEN,635
103361361921350,Mathias Zeuner FDP,Mathias Zeuner - FDP,631
111028065379904,OneClimate,climony GmbH,629
2135010219947091,MINTmagie,Bundesministerium für Bildung und Forschung,627
1790920000965539,CDU CSU Europa,CDU/CSU-Gruppe in der EVP-Fraktion im Europäischen Parlament,616
1509344156054331,AfD Darmstadt,AfD-Kreisverband Darmstadt,614
13479664941,JUNGE FREIHEIT,Junge Freiheit Verlag GmbH & Co. KG,584
2056256127791743,Damian Boeselager,Damian Boeselager,576
1578640155687393,Sea-Watch,Sea-Watch,548
341486659645594,FDP Fraktion Bundestag,Fraktion der Freien Demokraten im Deutschen Bundestag,547
101981915182088,Lino Leudesdorff,Lino Leudesdorff,541
121678260974,Initiative Neue Soziale Marktwirtschaft (INSM),Initiative Neue Soziale Marktwirtschaft,534
103919417972272,Unabhängige Beauftragte für Fragen des sexuellen Kindesmissbrauchs,Unabhängige Beauftragte für Fragen des sexuellen Kindesmissbrauchs,533
116335026590900,Mülltrennung wirkt,die dualen Systeme,528
385554958309486,Diakonie Hessen,Diakonie Hessen,524
393186510822990,e.on,e.on,479
614408642007931,Zurich,Zürich Beteiligungs-Aktiengesellschaft (Deutschland),475
144527739568157,Searchtalent,Searchtalent,468
256998207759081,FREIE WÄHLER Hessen,FREIE WÄHLER Hessen,465
1799289273687556,Beratungsstelle Frauennotruf Frankfurt,Beratungsstelle Frauennotruf Frankfurt,443
100894706195011,Maximilian Ziegler - Landtagskandidat,SPD Vogelsbergkreis,433
718677004826671,Deutsche Umwelthilfe,Deutsche Umwelthilfe,424
199517326737409,FDP Unterfranken,FDP Unterfranken,409
875209602502336,AfD Kreisverband Vogelsberg,AfD Kreisverband Vogelsberg,408
107085727344683,Mein Schlüssel zur Welt,Bundesministerium für Bildung und Forschung,401
112369170621210,Deutschland spricht über 5G,"Dialoginitiative ""Deutschland spricht über 5G""",399
200752383293733,International Justice Mission,International Justice Mission,393
343364921106,Caritas international,Caritas international,392
108978741405727,Hans Christian Göttlicher - Für Sie in den Landtag,Hans Christian Göttlicher - Für Sie in den Landtag,384
23216224900,Plan International Deutschland,Plan International Deutschland e.V.,383
201027810797263,Alexander Grotov - Landtagskandidat Kassel West,Alexander Grotov - Landtagskandidat Kassel West,382
1433133016766839,AfD Fulda,AfD Kreisverband Fulda,381
111698888335211,Daskannkunststoff,ALPLA Werke Alwin Lehner GmbH & Co KG,378
202891703059373,SPD Frankfurt,SPD Frankfurt,377
104351635002082,Deutschland erkennt Sepsis,Deutschland erkennt Sepsis,376
109731740941494,WiduLand,Initiative WiduLand e.V.,376
1874718159461760,Lufthansa,These ads ran without a disclaimer,373
173369732686833,Bündnis90/Die Grünen Frankfurt,BÜNDNIS 90/DIE GRÜNEN KV Frankfurt,358
22865297210,BÜNDNIS 90/DIE GRÜNEN Hessen,BÜNDNIS 90/DIE GRÜNEN Hessen,351
593476900673774,ifaw,ifaw,348
511785248971976,"Bundesministerium für Familie, Senioren, Frauen und Jugend","Bundesministerium für Familie, Senioren, Frauen und Jugend",337
558754197477014,DIE LINKE. Hessen,DIE LINKE. Hessen,328
